	wave	flux
      3384.66 -4.00121e-17
      3385.72  7.89162e-16
      3386.77 -4.67392e-16
      3387.83  2.63858e-17
      3388.88  1.22412e-15
      3389.93  6.70621e-16
      3390.99  6.63427e-16
      3392.04 -4.74939e-16
      3393.10 -2.75812e-16
      3394.15 -8.62981e-16
      3395.21 -3.94072e-16
      3396.26 -1.79070e-16
      3397.31  1.09893e-16
      3398.37 -4.64434e-16
      3399.42  2.42262e-16
      3400.48  4.35367e-16
      3401.53  8.10816e-17
      3402.59  5.07648e-16
      3403.64 -2.14754e-16
      3404.70  3.48103e-17
      3405.75 -3.61741e-16
      3406.81  3.62643e-16
      3407.86  2.14202e-16
      3408.92  5.26343e-16
      3409.97 -2.82174e-16
      3411.03 -4.12422e-16
      3412.08  1.04211e-16
      3413.14  8.70311e-16
      3414.20 -5.09612e-16
      3415.25 -1.14436e-16
      3416.31  1.08379e-16
      3417.36 -5.70854e-16
      3418.42  5.47622e-16
      3419.47  4.16744e-16
      3420.53 -7.81265e-16
      3421.58  1.20699e-16
      3422.64  9.37848e-17
      3423.70  2.31482e-16
      3424.75 -7.90193e-16
      3425.81 -3.64902e-16
      3426.86  8.59471e-17
      3427.92  2.83723e-17
      3428.98 -5.70661e-16
      3430.03  8.62495e-17
      3431.09  2.10452e-17
      3432.15 -1.54122e-16
      3433.20  4.05815e-16
      3434.26 -8.19909e-16
      3435.32  9.85146e-17
      3436.37 -2.05275e-16
      3437.43 -1.37760e-16
      3438.49 -1.71015e-16
      3439.54  1.21823e-16
      3440.60 -2.92020e-16
      3441.66  5.49320e-16
      3442.71  4.10570e-16
      3443.77  4.58518e-16
      3444.83  6.37914e-16
      3445.88  1.12964e-16
      3446.94 -5.26836e-16
      3448.00  6.16044e-16
      3449.06 -7.73994e-16
      3450.11 -1.09047e-16
      3451.17  2.74370e-16
      3452.23 -6.25576e-17
      3453.28  6.01355e-16
      3454.34  3.67259e-16
      3455.40  5.84933e-16
      3456.46  7.00763e-17
      3457.52 -3.32702e-17
      3458.57  8.89083e-16
      3459.63  3.35011e-16
      3460.69  8.11747e-17
      3461.75 -2.55400e-16
      3462.80 -3.88635e-17
      3463.86 -3.68408e-16
      3464.92 -6.66221e-16
      3465.98  5.27867e-17
      3467.04  1.57842e-16
      3468.09  5.17139e-16
      3469.15  2.60783e-16
      3470.21 -3.34714e-16
      3471.27  9.93706e-16
      3472.33  5.64860e-16
      3473.39 -1.24184e-17
      3474.45 -2.65827e-16
      3475.50 -1.04803e-16
      3476.56  1.41178e-17
      3477.62 -2.88616e-16
      3478.68 -5.45272e-16
      3479.74  3.68913e-19
      3480.80  7.05277e-16
      3481.86  2.17600e-16
      3482.92  2.30429e-16
      3483.97  1.70413e-16
      3485.03 -4.08585e-16
      3486.09  2.72514e-16
      3487.15 -8.25951e-17
      3488.21  6.51172e-16
      3489.27  4.90917e-16
      3490.33 -2.91249e-17
      3491.39 -3.24259e-16
      3492.45  1.47518e-17
      3493.51  3.07237e-16
      3494.57  7.83745e-16
      3495.63  2.67848e-16
      3496.69  6.36842e-17
      3497.75  1.37324e-16
      3498.81  3.42808e-16
      3499.87 -4.95899e-16
      3500.93 -1.17411e-16
      3501.99  2.21607e-16
      3503.05  4.93217e-16
      3504.10  6.74901e-16
      3505.17 -6.76939e-16
      3506.23 -1.04745e-16
      3507.29  3.15137e-16
      3508.35 -4.90269e-16
      3509.41  4.67029e-16
      3510.47 -3.01029e-16
      3511.53 -4.93519e-16
      3512.59 -1.09985e-16
      3513.65  2.97154e-16
      3514.71  1.85066e-16
      3515.77 -1.89312e-16
      3516.83  1.78500e-16
      3517.89  2.28886e-16
      3518.95  2.35953e-16
      3520.01  1.55174e-16
      3521.07  8.01574e-17
      3522.13  4.75749e-16
      3523.19 -5.66362e-17
      3524.25  2.47668e-16
      3525.32 -4.06829e-17
      3526.38 -1.11768e-16
      3527.44  6.28614e-17
      3528.50  2.94304e-16
      3529.56  5.81196e-16
      3530.62  1.82125e-16
      3531.68  1.89736e-16
      3532.74  3.15498e-16
      3533.81 -1.32333e-16
      3534.87 -3.10890e-16
      3535.93  1.85511e-16
      3536.99 -4.82226e-16
      3538.05  2.84379e-16
      3539.11 -2.18788e-16
      3540.18 -3.54803e-16
      3541.24 -1.75833e-16
      3542.30  1.50545e-16
      3543.36  3.96706e-16
      3544.42  1.24286e-16
      3545.49 -1.69108e-16
      3546.55 -4.95517e-16
      3547.61  1.19869e-16
      3548.67  5.09213e-16
      3549.73  3.38319e-16
      3550.80  8.72757e-17
      3551.86  1.23438e-16
      3552.92  6.34531e-16
      3553.98 -7.58281e-16
      3555.05  6.22229e-16
      3556.11 -1.44603e-16
      3557.17  9.33956e-17
      3558.23 -1.35948e-16
      3559.30 -1.64949e-16
      3560.36 -1.56707e-16
      3561.42  2.41881e-16
      3562.48 -5.42305e-16
      3563.55 -1.99306e-16
      3564.61  2.88041e-16
      3565.67  1.44506e-17
      3566.74 -4.21240e-16
      3567.80 -7.17285e-17
      3568.86 -3.69305e-16
      3569.92  1.23185e-16
      3570.99  3.98553e-16
      3572.05  1.84348e-16
      3573.11 -7.46027e-16
      3574.18  2.48377e-16
      3575.24 -2.14616e-16
      3576.30  4.47487e-16
      3577.37 -1.50757e-16
      3578.43  1.68353e-16
      3579.49  6.88521e-17
      3580.56  3.77665e-16
      3581.62  5.00542e-17
      3582.69 -2.67915e-16
      3583.75  1.96610e-16
      3584.81  1.50673e-16
      3585.88  9.52918e-18
      3586.94  2.71691e-16
      3588.00  2.12007e-16
      3589.07  8.92243e-18
      3590.13  4.68435e-17
      3591.20  4.01080e-16
      3592.26 -6.48125e-17
      3593.33 -7.64349e-17
      3594.39  8.62413e-17
      3595.45  4.61389e-16
      3596.52 -2.97296e-16
      3597.58 -7.72688e-17
      3598.65 -5.06231e-17
      3599.71  2.55783e-16
      3600.78 -2.99658e-16
      3601.84  9.87080e-17
      3602.91 -1.63935e-16
      3603.97  6.80060e-17
      3605.03 -4.10624e-17
      3606.10 -1.06881e-16
      3607.16  3.42004e-16
      3608.23  3.22135e-16
      3609.29 -5.50785e-17
      3610.36  2.11276e-17
      3611.42  1.33982e-16
      3612.49 -7.68150e-17
      3613.55 -4.67542e-16
      3614.62  3.78951e-16
      3615.68  1.14202e-16
      3616.75 -8.69766e-17
      3617.81 -2.02280e-16
      3618.88 -2.98799e-17
      3619.95  6.50354e-18
      3621.01  5.34448e-16
      3622.08  1.45605e-16
      3623.14 -1.35626e-16
      3624.21 -1.63951e-16
      3625.27  2.16681e-16
      3626.34  1.41389e-17
      3627.40  1.77525e-16
      3628.47  4.29290e-16
      3629.54  7.45352e-16
      3630.60 -9.99491e-17
      3631.67  2.05603e-16
      3632.73  5.91386e-17
      3633.80 -3.68807e-16
      3634.87  5.24498e-18
      3635.93  3.32923e-16
      3637.00  3.33608e-16
      3638.06 -7.00247e-17
      3639.13 -1.65706e-17
      3640.20  4.77828e-16
      3641.26  1.31567e-16
      3642.33  3.08222e-16
      3643.40 -6.67953e-18
      3644.46  1.22052e-16
      3645.53  4.70184e-16
      3646.59 -2.60266e-18
      3647.66 -2.02371e-16
      3648.73  2.55145e-16
      3649.79  1.89590e-16
      3650.86  2.85373e-16
      3651.93 -3.37146e-16
      3652.99 -3.11964e-17
      3654.06  3.79201e-16
      3655.13  3.80217e-16
      3656.20  3.22526e-16
      3657.26  1.24168e-16
      3658.33  5.48473e-16
      3659.40 -4.76105e-17
      3660.46  1.00230e-16
      3661.53 -2.64671e-16
      3662.60 -4.64303e-16
      3663.67 -7.53031e-17
      3664.73  1.40524e-16
      3665.80  1.97409e-17
      3666.87 -4.60953e-16
      3667.93  2.70588e-16
      3669.00  1.98978e-16
      3670.07 -3.40374e-17
      3671.14  3.99489e-16
      3672.21 -3.24933e-16
      3673.27 -9.87653e-17
      3674.34  9.67720e-17
      3675.41 -1.17569e-16
      3676.48 -6.33185e-17
      3677.54  1.77882e-17
      3678.61  2.07848e-16
      3679.68  2.16015e-16
      3680.75  1.21264e-16
      3681.82 -1.43924e-16
      3682.88  1.67318e-16
      3683.95  1.29369e-16
      3685.02 -1.76988e-16
      3686.09  1.30375e-16
      3687.16  1.10227e-16
      3688.22  8.96222e-17
      3689.29 -6.07825e-17
      3690.36 -2.98901e-16
      3691.43  2.06510e-16
      3692.50  2.23022e-16
      3693.57  3.13085e-17
      3694.64 -2.38637e-19
      3695.70  2.63641e-16
      3696.77 -1.01973e-16
      3697.84  1.32845e-16
      3698.91 -1.78064e-16
      3699.98 -1.05602e-16
      3701.05 -3.84282e-16
      3702.12 -9.45131e-17
      3703.18  5.64497e-17
      3704.25 -3.22754e-16
      3705.32  2.62101e-17
      3706.39  2.05314e-16
      3707.46  2.92613e-18
      3708.53  5.03567e-16
      3709.60  2.05203e-16
      3710.67 -3.26368e-17
      3711.74  3.58354e-16
      3712.81 -1.91881e-16
      3713.88 -2.59287e-16
      3714.95  7.03202e-16
      3716.02 -7.95162e-17
      3717.08 -2.02495e-16
      3718.15  1.46423e-16
      3719.22  1.98552e-16
      3720.29  2.12218e-16
      3721.36  1.93226e-16
      3722.43 -2.96150e-17
      3723.50 -1.03167e-16
      3724.57  2.30929e-16
      3725.64  3.03690e-16
      3726.71 -1.38263e-17
      3727.78  3.56603e-16
      3728.85 -2.08103e-16
      3729.92  7.18023e-17
      3730.99  1.47945e-17
      3732.06  4.98209e-16
      3733.13  1.65044e-16
      3734.20  1.41205e-17
      3735.27  2.15342e-16
      3736.34 -8.57900e-18
      3737.41  3.48201e-16
      3738.48  8.31188e-18
      3739.55  3.90025e-16
      3740.62 -1.05018e-16
      3741.69 -7.44166e-17
      3742.76  2.07329e-17
      3743.83  5.49905e-17
      3744.91  1.05131e-16
      3745.98 -2.04585e-16
      3747.05  2.45076e-16
      3748.12 -3.17004e-16
      3749.19 -1.58765e-16
      3750.26  2.49037e-16
      3751.33  3.83333e-16
      3752.40  4.22079e-16
      3753.47 -1.93766e-16
      3754.54 -4.14177e-18
      3755.61  1.98519e-16
      3756.68  1.87606e-16
      3757.75  3.10645e-17
      3758.83  4.82984e-17
      3759.90  2.30840e-16
      3760.97  5.99701e-17
      3762.04 -8.95650e-17
      3763.11  3.04872e-16
      3764.18 -6.42556e-17
      3765.25  1.18856e-16
      3766.32  5.59761e-17
      3767.40  1.71516e-17
      3768.47  1.43750e-16
      3769.54  8.88096e-17
      3770.61  4.73667e-16
      3771.68 -1.77785e-16
      3772.75  2.50564e-16
      3773.83 -1.58545e-16
      3774.90 -4.84071e-17
      3775.97  6.17832e-17
      3777.04 -4.33292e-17
      3778.11  2.56384e-17
      3779.18  1.18719e-16
      3780.26  5.10967e-17
      3781.33 -4.28091e-17
      3782.40  8.68392e-17
      3783.47 -3.35061e-16
      3784.54 -4.00188e-17
      3785.62 -1.49610e-16
      3786.69 -6.75990e-17
      3787.76  6.41494e-17
      3788.83  2.17353e-16
      3789.91  4.60450e-18
      3790.98  3.49588e-16
      3792.05 -3.34458e-16
      3793.12  1.47843e-16
      3794.19  2.31462e-16
      3795.27  1.44709e-16
      3796.34 -2.32854e-16
      3797.41  1.64947e-16
      3798.48  1.17017e-16
      3799.56  3.81008e-16
      3800.63  2.50636e-16
      3801.70 -2.57438e-16
      3802.77  1.71420e-16
      3803.85 -4.03881e-17
      3804.92 -2.19224e-16
      3805.99 -5.15896e-17
      3807.07  2.57464e-16
      3808.14  1.19585e-16
      3809.21  4.15410e-16
      3810.28  2.82520e-16
      3811.36  1.28030e-17
      3812.43  2.44513e-16
      3813.50 -2.39871e-17
      3814.58  3.17806e-16
      3815.65  2.16171e-16
      3816.72  8.12242e-17
      3817.80  3.75711e-16
      3818.87 -3.20171e-17
      3819.94 -3.26049e-17
      3821.02 -2.02075e-16
      3822.09  4.03006e-16
      3823.16  1.38495e-16
      3824.24 -1.36841e-16
      3825.31  3.17091e-16
      3826.38  6.70326e-17
      3827.46 -7.80418e-17
      3828.53  1.06700e-16
      3829.61  1.84318e-17
      3830.68  1.30719e-16
      3831.75  3.19437e-16
      3832.83  1.71110e-16
      3833.90 -3.27473e-16
      3834.97  1.22944e-16
      3836.05  1.71719e-16
      3837.12 -9.20517e-17
      3838.20  2.67829e-16
      3839.27  1.35787e-16
      3840.34  2.83620e-16
      3841.42  1.92009e-16
      3842.49  1.29179e-16
      3843.57  3.18646e-16
      3844.64  7.12255e-17
      3845.72  1.37006e-16
      3846.79 -8.21524e-18
